City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,16.81,95,100,14.91,SH,1733111594
1,hamilton,39.1834,-84.5333,-3.92,69,75,2.68,US,1733111595
2,lihue,21.9789,-159.3672,24.77,74,20,4.12,US,1733111596
3,qaqortoq,60.7167,-46.0333,-1.66,98,100,2.58,GL,1733111597
4,tiksi,71.6872,128.8694,-25.13,100,65,2.16,RU,1733111598
5,sofo-birnin-gwari,11.0154,6.7804,18.86,22,99,5.44,NG,1733111599
6,bredasdorp,-34.5322,20.0403,15.8,82,4,1.05,ZA,1733111600
7,lae,-6.7221,146.9847,28.55,69,87,4.32,PG,1733111602
8,west island,-12.1568,96.8225,28.99,89,75,5.66,CC,1733111604
9,iqaluit,63.7506,-68.5145,-10.15,72,100,5.66,CA,1733111606
10,katsuren-haebaru,26.3369,127.8719,25.05,54,40,5.14,JP,1733111608
11,kalmunai,7.4167,81.8167,27.71,76,48,0.97,LK,1733111609
12,vila velha,-20.3297,-40.2925,23.97,94,75,1.54,BR,1733111610
13,adamstown,-25.066,-130.1015,23.21,77,93,6.18,PN,1733111611
14,tateyama,34.9833,139.8667,14.98,63,3,1.8,JP,1733111612
15,erattupetta,9.7,76.7833,24.3,96,100,0.61,IN,1733111613
16,sitka,57.0531,-135.33,5.94,81,100,1.54,US,1733111615
17,vila franca do campo,37.7167,-25.4333,18.27,99,91,1.96,PT,1733111616
18,grytviken,-54.2811,-36.5092,5.09,92,100,6.12,GS,1733111617
19,albany,42.6001,-73.9662,-3.08,72,22,0.45,US,1733111618
20,thompson,55.7435,-97.8558,-17.91,85,75,1.54,CA,1733111619
21,tura,25.5198,90.2201,23.8,52,38,0.89,IN,1733111620
22,uturoa,-16.7333,-151.4333,28.24,72,96,3.23,PF,1733111621
23,hawaiian paradise park,19.5933,-154.9731,23.82,83,100,2.06,US,1733111623
24,punta arenas,-53.15,-70.9167,6.06,75,75,8.75,CL,1733111624
25,copala,16.65,-98.9833,24.28,78,0,1.69,MX,1733111625
26,itaberaba,-12.5275,-40.3069,21.52,86,84,1.16,BR,1733111626
27,sinop,41.7711,34.8709,0.94,84,9,3.7,TR,1733111627
28,kupang,-10.1667,123.5833,33.32,75,40,4.63,ID,1733111628
29,lompoc,34.6391,-120.4579,11.4,80,0,2.57,US,1733111629
30,lucapa,-8.4192,20.7447,18.07,98,100,0.8,AO,1733111630
31,ilulissat,69.2167,-51.1,-13.99,61,75,0.0,GL,1733111632
32,ribeira grande,38.5167,-28.7,19.32,91,62,3.13,PT,1733111633
33,bethel,41.3712,-73.414,-2.26,67,1,1.67,US,1733111634
34,loukhi,66.0764,33.0381,4.55,91,100,6.52,RU,1733111635
35,nar'yan-mar,67.6713,53.087,-6.3,92,99,5.81,RU,1733111636
36,bamboo flat,11.7,92.7167,30.05,70,40,3.09,IN,1733111639
37,puerto natales,-51.7236,-72.4875,3.4,94,100,3.22,CL,1733111640
38,hithadhoo,-0.6,73.0833,27.75,79,100,9.79,MV,1733111641
39,barentu,15.1139,37.5928,20.24,69,98,1.58,ER,1733111642
40,ephrata,40.1798,-76.1788,-2.25,67,0,2.57,US,1733111612
41,maumere,-8.6199,122.2111,29.68,70,100,1.86,ID,1733111644
42,ozark,37.0209,-93.206,-1.38,86,17,1.39,US,1733111646
43,bilibino,68.0546,166.4372,-17.52,95,81,1.2,RU,1733111647
44,humahuaca,-23.2054,-65.3505,16.6,65,63,2.0,AR,1733111648
45,bubaque,11.2833,-15.8333,27.97,57,84,3.97,GW,1733111649
46,mount isa,-20.7333,139.5,33.87,52,40,8.75,AU,1733111650
47,fort william,56.8165,-5.1121,5.17,93,100,3.11,GB,1733111652
48,kirensk,57.7853,108.1119,-27.73,94,41,0.5,RU,1733111653
49,blackmans bay,-43.0167,147.3167,25.07,63,56,2.65,AU,1733111654
50,el bayadh,33.6832,1.0193,8.39,69,99,1.34,DZ,1733111655
51,zhanibek,49.4167,46.85,-1.94,92,41,3.2,KZ,1733111656
52,nieuw amsterdam,5.8833,-55.0833,24.88,89,59,3.87,SR,1733111657
53,longyearbyen,78.2186,15.6401,-13.09,78,75,2.57,SJ,1733111514
54,dryden,49.7833,-92.7503,-8.84,92,75,2.06,CA,1733111660
55,udachny,66.4167,112.4,-30.69,91,78,2.62,RU,1733111661
56,mollendo,-17.0231,-72.0147,18.64,90,100,3.18,PE,1733111662
57,katpur,21.05,71.7833,24.45,45,68,5.91,IN,1733111663
58,east london,-33.0153,27.9116,17.52,88,0,2.57,ZA,1733111664
59,port-aux-francais,-49.35,70.2167,3.9,77,98,3.92,TF,1733111665
60,port lincoln,-34.7333,135.8667,28.22,47,100,13.34,AU,1733111667
61,talnakh,69.4865,88.3972,-8.89,90,100,10.05,RU,1733111668
62,margaret river,-33.95,115.0667,16.86,51,98,7.15,AU,1733111669
63,labytnangi,66.6572,66.4183,-14.9,93,63,3.42,RU,1733111670
64,kalabo,-14.97,22.6814,20.03,63,20,2.25,ZM,1733111671
65,fortuna,40.5982,-124.1573,7.51,100,0,3.09,US,1733111672
66,tazovsky,67.4667,78.7,-13.82,96,100,3.34,RU,1733111673
67,nabire,-3.3667,135.4833,30.7,65,31,2.3,ID,1733111675
68,vadso,70.0744,29.7487,-2.91,93,100,9.77,NO,1733111676
69,tenosique,17.4833,-91.4333,21.58,91,10,1.87,MX,1733111677
70,paracuru,-3.41,-39.0306,26.47,75,75,4.78,BR,1733111678
71,whitehorse,60.7161,-135.0538,-15.57,71,100,5.14,CA,1733111223
72,new norfolk,-42.7826,147.0587,20.57,58,96,3.41,AU,1733111680
73,carnarvon,-24.8667,113.6333,23.21,61,13,7.96,AU,1733111681
74,enewetak,11.3474,162.3373,28.02,82,55,10.65,MH,1733111683
75,brisas de zicatela,15.8369,-97.0419,24.65,65,2,1.85,MX,1733111684
76,saldanha,-33.0117,17.9442,15.03,87,19,5.81,ZA,1733111685
77,susuman,62.7833,148.1667,-15.35,96,97,1.55,RU,1733111686
78,nuuk,64.1835,-51.7216,-0.66,80,100,6.17,GL,1733111687
79,port mathurin,-19.6833,63.4167,24.31,77,49,5.82,MU,1733111688
80,puerto ayora,-0.7393,-90.3518,21.02,90,59,2.1,EC,1733111691
81,waitangi,-43.9535,-176.5597,13.23,78,78,4.02,NZ,1733111692
82,port saint john's,-31.6229,29.5448,20.65,92,100,3.77,ZA,1733111693
83,northam,51.0333,-4.2167,9.78,90,50,9.4,GB,1733111694
84,ebon,4.582,168.6964,28.14,76,77,5.1,MH,1733111695
85,greater sudbury,46.49,-80.99,-3.86,89,35,0.89,CA,1733111698
86,la paz,-16.5,-68.15,11.43,76,75,1.03,BO,1733111699
87,olonkinbyen,70.9221,-8.7187,-10.75,74,100,12.81,SJ,1733111700
